,loss,mean_square_error,mean_absolute_error
0,3.292545795440674,3.292545795440674,0.6553705334663391
1,8.07601261138916,8.07601261138916,1.0686637163162231
2,1.0916554927825928,1.0916554927825928,0.4699353277683258
3,1.0818438529968262,1.0818438529968262,0.4405990540981293
4,1.817176342010498,1.817176342010498,0.6533473134040833
5,2.1944186687469482,2.1944186687469482,0.6045740246772766
6,2.2552573680877686,2.2552573680877686,0.4848153293132782
7,1.0794956684112549,1.0794956684112549,0.3737320005893707
8,2.291689395904541,2.291689395904541,0.5586291551589966
9,0.6249518990516663,0.6249518990516663,0.3336474299430847
10,1.7411231994628906,1.7411231994628906,0.4989336431026459
11,28.884763717651367,28.884763717651367,1.157530426979065
12,1.1092910766601562,1.1092910766601562,0.47213688492774963
13,0.4248603582382202,0.4248603582382202,0.2776132822036743
14,2.6158220767974854,2.6158220767974854,0.5544642210006714
15,0.6061303615570068,0.6061303615570068,0.3133731782436371
16,4.785658359527588,4.785658359527588,0.6577943563461304
17,1.2273436784744263,1.2273436784744263,0.5523970127105713
18,0.8246604204177856,0.8246604204177856,0.3596324324607849
19,0.6171602010726929,0.6171602010726929,0.32645559310913086
20,2.132228136062622,2.132228136062622,0.4529757499694824
21,0.7735404372215271,0.7735404372215271,0.40479159355163574
22,3.687697172164917,3.687697172164917,0.9117937088012695
23,0.26000022888183594,0.26000022888183594,0.22568033635616302
24,1.2081676721572876,1.2081676721572876,0.5237119793891907
25,0.42846566438674927,0.42846566438674927,0.3090355098247528
26,2.754379987716675,2.754379987716675,0.5118749141693115
27,2.8316078186035156,2.8316078186035156,0.5741516947746277
28,1.316112756729126,1.316112756729126,0.44980499148368835
29,0.5637931227684021,0.5637931227684021,0.3010002672672272
Mean,2.7532617847124734,2.7532617847124734,0.5159488553802173
Standard Deviation,5.01798110482998,5.01798110482998,0.20982229687199871
