,loss,mean_square_error,mean_absolute_error
0,11.671163558959961,11.671163558959961,1.922186255455017
1,7.900904655456543,7.900904655456543,1.5759280920028687
2,8.535592079162598,8.535592079162598,1.66800057888031
3,13.138620376586914,13.138620376586914,2.032346487045288
4,11.070816040039062,11.070816040039062,1.9094123840332031
5,10.04519271850586,10.04519271850586,1.8234425783157349
6,8.671018600463867,8.671018600463867,1.652162790298462
7,12.153182983398438,12.153182983398438,1.9692970514297485
8,9.321681022644043,9.321681022644043,1.687886357307434
9,12.497066497802734,12.497066497802734,2.019237995147705
Mean,10.500523853302003,10.500523853302003,1.8259900569915772
Standard Deviation,1.6770025120376195,1.6770025120376195,0.15179661375334438
